"","Subject","Age","Gender","Date","TrialNumber","Mesh","Function","Name","Name_learnt","Task","SuccessTask","RTMovement","RTGrasping","RTAction","TrialBlock","RTMovementGrasping","RTGraspingAction","RTMovement.c","RTMovement.z","RTGrasping.c","RTGrasping.z","RTAction.c","RTAction.z","RTMovementGrasping.c","RTMovementGrasping.z","RTGraspingAction.c","RTGraspingAction.z"
"1",5,20,"Female",25092018,1,"controllerRenderer_E","VANISHING","NoName2","No","USE","True",0.8333342,1.977782,2.899997,1,1.144,0.922,0.314,1.425,0.299,0.477,0.24,0.109,-0.015,-0.024,-0.059,-0.031
"2",8,21,"Female",27092018,1,"controllerRenderer_E","SNOWING","NoName3","No","USE","True",0.5444446,1.544447,2.433334,1,1,0.889,0.025,0.113,-0.134,-0.213,-0.227,-0.104,-0.159,-0.262,-0.093,-0.048
"3",9,19,"Male",27092018,1,"controllerRenderer_I","CREATING","NoName1","No","USE","True",0.5,2.488889,4.777776,1,1.989,2.289,-0.02,-0.089,0.81,1.291,2.117,0.967,0.83,1.369,1.307,0.676
"4",10,19,"Female",2102018,1,"controllerRenderer_I","CREATING","NoName3","No","MOVE","True",0.5555557,1.688892,1.877781,1,1.133,0.189,0.036,0.163,0.01,0.017,-0.783,-0.357,-0.026,-0.043,-0.793,-0.41
"5",12,19,"Female",3102018,1,"controllerRenderer_C","SNOWING","NoName1","No","USE","True",0.5333334,1.86667,2.61111,1,1.333,0.744,0.014,0.062,0.188,0.3,-0.049,-0.022,0.174,0.287,-0.237,-0.123
"6",16,20,"Female",8102018,1,"controllerRenderer_I","BLACKHOLE","UNT","Yes","MOVE","True",0.3333333,1.244446,1.366669,1,0.911,0.122,-0.186,-0.846,-0.434,-0.691,-1.294,-0.591,-0.248,-0.409,-0.86,-0.445
"7",20,18,"Female",9102018,1,"controllerRenderer_E","ANTIGRAVITY","SNI","Yes","MOVE","True",0.4666667,1.344447,1.47778,1,0.878,0.133,-0.053,-0.24,-0.334,-0.532,-1.183,-0.54,-0.281,-0.463,-0.849,-0.439
"8",22,18,"Male",11102018,1,"controllerRenderer_A","GROWING","NoName1","No","MOVE","True",0.4888889,1.677781,1.677781,1,1.189,0,-0.031,-0.139,-0.001,-0.001,-0.983,-0.449,0.03,0.05,-0.982,-0.508
"9",24,19,"Female",21102018,1,"controllerRenderer_E","VANISHING","NoName1","No","USE","True",0.4777778,1.944448,3.844433,1,1.467,1.9,-0.042,-0.19,0.266,0.424,1.184,0.541,0.308,0.508,0.918,0.475
"10",25,20,"Female",12102018,1,"controllerRenderer_G","GROWING","LUM","Yes","MOVE","True",0.4777778,2.166669,2.366668,1,1.689,0.2,-0.042,-0.19,0.488,0.778,-0.294,-0.134,0.53,0.874,-0.782,-0.405
"11",26,18,"Female",15102018,1,"controllerRenderer_G","ANTIGRAVITY","LUM","Yes","MOVE","True",0.2111111,1.755559,1.911115,1,1.544,0.156,-0.308,-1.401,0.077,0.123,-0.749,-0.342,0.385,0.635,-0.826,-0.427
"12",28,31,"Female",17102018,1,"controllerRenderer_G","VANISHING","LUM","Yes","MOVE","True",0.6666671,1.644447,1.688892,1,0.978,0.044,0.147,0.668,-0.034,-0.054,-0.971,-0.443,-0.181,-0.298,-0.937,-0.485
"13",29,21,"Female",17102018,1,"controllerRenderer_A","GROWING","NoName3","No","USE","True",1.544447,2.511111,3.47777,1,0.967,0.967,1.025,4.655,0.833,1.326,0.817,0.373,-0.192,-0.316,-0.016,-0.008
"14",30,19,"Female",18102018,1,"controllerRenderer_B","CREATING","NoName2","No","USE","True",0.4444444,2.644443,4.522217,1,2.2,1.878,-0.075,-0.341,0.966,1.539,1.862,0.85,1.041,1.717,0.896,0.464
"15",32,20,"Female",19102018,1,"controllerRenderer_I","SNOWING","UNT","Yes","USE","True",0.6111114,2.033337,3.455548,1,1.422,1.422,0.092,0.416,0.355,0.565,0.795,0.363,0.263,0.434,0.44,0.228
"16",35,19,"Female",6112018,1,"controllerRenderer_A","SNOWING","NoName2","No","USE","True",0.4777778,1.355558,4.077766,1,0.878,2.722,-0.042,-0.19,-0.323,-0.514,1.417,0.647,-0.281,-0.463,1.74,0.9
"17",36,20,"Female",6112018,1,"controllerRenderer_E","GROWING","UNT","Yes","MOVE","True",0.4777778,1.933337,1.977782,1,1.456,0.044,-0.042,-0.19,0.255,0.406,-0.683,-0.312,0.297,0.49,-0.938,-0.485
"18",1922222,20,"Female",9102018,1,"controllerRenderer_I","BLACKHOLE","SNI","Yes","MOVE","True",0.8000008,2.877774,4.688886,1,2.078,1.811,0.28,1.274,1.199,1.91,2.029,0.926,0.919,1.516,0.83,0.429
