"","Name","Subject","TrialBlock","NumberOfSucceedTrials","NumberOfFailedTrials","PercentOfSuccess"
"1","No","1","1",31,1,96.88
"2","Yes","1","1",25,3,89.29
"3","No","2","1",24,0,100
"4","Yes","2","1",16,1,94.12
"5","No","3","1",23,1,95.83
"6","Yes","3","1",20,3,86.96
"7","No","4","1",18,2,90
"8","Yes","4","1",33,0,100
"9","No","5","1",27,3,90
"10","Yes","5","1",14,3,82.35
"11","No","6","1",23,9,71.88
"12","Yes","6","1",14,2,87.5
"13","No","7","1",19,1,95
"14","Yes","7","1",23,2,92
"15","No","8","1",17,3,85
"16","Yes","8","1",23,7,76.67
"17","No","9","1",30,3,90.91
"18","Yes","9","1",17,5,77.27
"19","No","10","1",24,1,96
"20","Yes","10","1",22,0,100
"21","No","11","1",23,1,95.83
"22","Yes","11","1",22,0,100
"23","No","12","1",24,0,100
"24","Yes","12","1",16,0,100
"25","No","13","1",23,3,88.46
"26","Yes","13","1",20,4,83.33
"27","No","14","1",37,1,97.37
"28","Yes","14","1",21,1,95.45
"29","No","15","1",18,1,94.74
"30","Yes","15","1",29,0,100
"31","No","16","1",24,0,100
"32","Yes","16","1",30,1,96.77
"33","No","17","1",28,0,100
"34","Yes","17","1",25,0,100
"35","No","18","1",26,0,100
"36","Yes","18","1",16,1,94.12
"37","No","20","1",12,2,85.71
"38","Yes","20","1",29,1,96.67
"39","No","21","1",29,2,93.55
"40","Yes","21","1",28,1,96.55
"41","No","22","1",23,1,95.83
"42","Yes","22","1",27,1,96.43
"43","No","24","1",27,0,100
"44","Yes","24","1",29,0,100
"45","No","25","1",31,0,100
"46","Yes","25","1",21,1,95.45
"47","No","26","1",25,0,100
"48","Yes","26","1",31,0,100
"49","No","27","1",28,1,96.55
"50","Yes","27","1",26,1,96.3
"51","No","28","1",24,0,100
"52","Yes","28","1",36,0,100
"53","No","29","1",25,0,100
"54","Yes","29","1",19,3,86.36
"55","No","30","1",29,2,93.55
"56","Yes","30","1",28,0,100
"57","No","32","1",26,2,92.86
"58","Yes","32","1",21,0,100
"59","No","33","1",19,2,90.48
"60","Yes","33","1",23,2,92
