"","Name","Subject","TrialBlock","NumberOfSucceedTrials","NumberOfFailedTrials","PercentOfSuccess"
"1","No","1","1",21,1,95.45
"2","Yes","1","1",16,2,88.89
"3","No","2","1",34,2,94.44
"4","Yes","2","1",23,1,95.83
"5","No","3","1",25,4,86.21
"6","Yes","3","1",20,5,80
"7","No","4","1",18,10,64.29
"8","Yes","4","1",17,3,85
"9","No","5","1",18,10,64.29
"10","Yes","5","1",18,8,69.23
"11","No","6","1",18,16,52.94
"12","Yes","6","1",2,17,10.53
"13","No","7","1",24,3,88.89
"14","Yes","7","1",24,5,82.76
"15","No","8","1",16,10,61.54
"16","Yes","8","1",18,7,72
"17","No","9","1",14,3,82.35
"18","Yes","9","1",27,2,93.1
"19","No","10","1",16,6,72.73
"20","Yes","10","1",27,5,84.38
"21","No","11","1",24,3,88.89
"22","Yes","11","1",24,4,85.71
"23","No","12","1",27,2,93.1
"24","Yes","12","1",29,3,90.62
"25","No","13","1",23,7,76.67
"26","Yes","13","1",17,4,80.95
"27","No","14","1",18,2,90
"28","Yes","14","1",19,2,90.48
"29","No","15","1",25,5,83.33
"30","Yes","15","1",22,1,95.65
"31","No","16","1",28,0,100
"32","Yes","16","1",18,0,100
"33","No","17","1",18,2,90
"34","Yes","17","1",27,1,96.43
"35","No","18","1",26,3,89.66
"36","Yes","18","1",28,1,96.55
"37","No","20","1",26,4,86.67
"38","Yes","20","1",24,3,88.89
"39","No","21","1",20,1,95.24
"40","Yes","21","1",20,0,100
"41","No","22","1",17,6,73.91
"42","Yes","22","1",15,11,57.69
"43","No","24","1",26,2,92.86
"44","Yes","24","1",16,1,94.12
"45","No","25","1",19,1,95
"46","Yes","25","1",23,5,82.14
"47","No","26","1",25,4,86.21
"48","Yes","26","1",12,4,75
"49","No","27","1",22,6,78.57
"50","Yes","27","1",16,1,94.12
"51","No","28","1",21,0,100
"52","Yes","28","1",18,2,90
"53","No","29","1",27,4,87.1
"54","Yes","29","1",21,2,91.3
"55","No","30","1",17,5,77.27
"56","Yes","30","1",19,1,95
"57","No","32","1",29,1,96.67
"58","Yes","32","1",14,8,63.64
"59","No","33","1",24,4,85.71
"60","Yes","33","1",24,3,88.89
"61","No","34","1",4,28,12.5
"62","Yes","34","1",5,17,22.73
"63","No","35","1",20,8,71.43
"64","Yes","35","1",21,1,95.45
"65","No","36","1",23,0,100
"66","Yes","36","1",14,7,66.67
"67","No","37","1",21,2,91.3
"68","Yes","37","1",18,5,78.26
"69","No","38","1",24,2,92.31
"70","Yes","38","1",23,1,95.83
"71","No","39","1",18,0,100
"72","Yes","39","1",27,4,87.1
"73","No","40","1",21,1,95.45
"74","Yes","40","1",24,3,88.89
"75","No","1922222","1",20,1,95.24
"76","Yes","1922222","1",19,4,82.61
"77","No","1","2",26,0,100
"78","Yes","1","2",25,1,96.15
"79","No","2","2",29,0,100
"80","Yes","2","2",27,0,100
"81","No","3","2",23,3,88.46
"82","Yes","3","2",20,1,95.24
"83","No","4","2",20,1,95.24
"84","Yes","4","2",30,1,96.77
"85","No","5","2",31,1,96.88
"86","Yes","5","2",19,1,95
"87","No","6","2",23,2,92
"88","Yes","6","2",17,4,80.95
"89","No","7","2",25,3,89.29
"90","Yes","7","2",36,0,100
"91","No","8","2",27,4,87.1
"92","Yes","8","2",24,0,100
"93","No","9","2",25,2,92.59
"94","Yes","9","2",17,0,100
"95","No","10","2",29,1,96.67
"96","Yes","10","2",18,4,81.82
"97","No","11","2",31,0,100
"98","Yes","11","2",23,1,95.83
"99","No","12","2",29,1,96.67
"100","Yes","12","2",19,0,100
"101","No","13","2",24,0,100
"102","Yes","13","2",24,2,92.31
"103","No","14","2",21,1,95.45
"104","Yes","14","2",33,0,100
"105","No","15","2",28,1,96.55
"106","Yes","15","2",26,0,100
"107","No","16","2",26,0,100
"108","Yes","16","2",26,0,100
"109","No","17","2",30,0,100
"110","Yes","17","2",27,0,100
"111","No","18","2",21,1,95.45
"112","Yes","18","2",25,0,100
"113","No","20","2",20,1,95.24
"114","Yes","20","2",24,1,96
"115","No","21","2",17,1,94.44
"116","Yes","21","2",28,1,96.55
"117","No","22","2",28,2,93.33
"118","Yes","22","2",14,1,93.33
"119","No","24","2",23,0,100
"120","Yes","24","2",17,1,94.44
"121","No","25","2",26,0,100
"122","Yes","25","2",24,0,100
"123","No","26","2",18,3,85.71
"124","Yes","26","2",28,0,100
"125","No","27","2",31,1,96.88
"126","Yes","27","2",27,0,100
"127","No","28","2",22,3,88
"128","Yes","28","2",26,0,100
"129","No","29","2",16,1,94.12
"130","Yes","29","2",24,0,100
"131","No","30","2",27,1,96.43
"132","Yes","30","2",22,0,100
"133","No","32","2",23,0,100
"134","Yes","32","2",30,1,96.77
"135","No","33","2",21,3,87.5
"136","Yes","33","2",23,0,100
"137","No","34","2",18,10,64.29
"138","Yes","34","2",14,16,46.67
"139","No","35","2",19,3,86.36
"140","Yes","35","2",27,1,96.43
"141","No","36","2",25,0,100
"142","Yes","36","2",30,0,100
"143","No","37","2",19,0,100
"144","Yes","37","2",26,1,96.3
"145","No","38","2",29,0,100
"146","Yes","38","2",23,0,100
"147","No","39","2",20,0,100
"148","Yes","39","2",23,1,95.83
"149","No","40","2",18,1,94.74
"150","Yes","40","2",25,0,100
"151","No","1922222","2",17,1,94.44
"152","Yes","1922222","2",23,0,100
"153","No","1","3",15,0,100
"154","Yes","1","3",23,2,92
"155","No","2","3",29,0,100
"156","Yes","2","3",22,0,100
"157","No","3","3",29,0,100
"158","Yes","3","3",23,0,100
"159","No","4","3",33,1,97.06
"160","Yes","4","3",27,2,93.1
"161","No","5","3",26,1,96.3
"162","Yes","5","3",27,2,93.1
"163","No","6","3",24,0,100
"164","Yes","6","3",24,0,100
"165","No","7","3",23,3,88.46
"166","Yes","7","3",25,0,100
"167","No","8","3",25,2,92.59
"168","Yes","8","3",21,0,100
"169","No","9","3",17,1,94.44
"170","Yes","9","3",25,0,100
"171","No","10","3",23,3,88.46
"172","Yes","10","3",21,4,84
"173","No","11","3",27,0,100
"174","Yes","11","3",21,1,95.45
"175","No","12","3",23,1,95.83
"176","Yes","12","3",24,1,96
"177","No","13","3",23,2,92
"178","Yes","13","3",28,1,96.55
"179","No","14","3",23,0,100
"180","Yes","14","3",34,0,100
"181","No","15","3",22,1,95.65
"182","Yes","15","3",29,0,100
"183","No","16","3",28,0,100
"184","Yes","16","3",26,0,100
"185","No","17","3",26,1,96.3
"186","Yes","17","3",29,0,100
"187","No","18","3",26,2,92.86
"188","Yes","18","3",26,0,100
"189","No","20","3",20,2,90.91
"190","Yes","20","3",18,0,100
"191","No","21","3",30,1,96.77
"192","Yes","21","3",24,0,100
"193","No","22","3",28,1,96.55
"194","Yes","22","3",25,0,100
"195","No","24","3",18,3,85.71
"196","Yes","24","3",25,0,100
"197","No","25","3",26,0,100
"198","Yes","25","3",19,1,95
"199","No","26","3",25,0,100
"200","Yes","26","3",22,0,100
"201","No","27","3",23,0,100
"202","Yes","27","3",25,0,100
"203","No","28","3",18,2,90
"204","Yes","28","3",24,0,100
"205","No","29","3",29,2,93.55
"206","Yes","29","3",26,0,100
"207","No","30","3",21,0,100
"208","Yes","30","3",21,0,100
"209","No","32","3",29,0,100
"210","Yes","32","3",30,0,100
"211","No","33","3",21,1,95.45
"212","Yes","33","3",26,0,100
"213","No","34","3",15,3,83.33
"214","Yes","34","3",11,16,40.74
"215","No","35","3",21,1,95.45
"216","Yes","35","3",27,0,100
"217","No","36","3",27,2,93.1
"218","Yes","36","3",25,0,100
"219","No","37","3",19,0,100
"220","Yes","37","3",32,2,94.12
"221","No","38","3",28,0,100
"222","Yes","38","3",27,0,100
"223","No","39","3",26,0,100
"224","Yes","39","3",22,1,95.65
"225","No","40","3",26,0,100
"226","Yes","40","3",26,0,100
"227","No","1922222","3",27,1,96.43
"228","Yes","1922222","3",19,1,95
